id	text	humor
348	واحد قال لخطيبته كي نكلاكسوني هبطي قالتلو علاه اشريت طوموبيل قالها لا شريت زماره	yes
349	خطره واحد كان يسرح بالنعاج وحاط رجل فوق رجل ويتكيف في قارو ايا طاحت طياره قريب ليه كي جات الصحافه تسالو كيفاش الحادثه المسكين من الخلعه بزاف قالهم كنت نسرح بالطياره و حاط قارو فوق قارو ونتكيف في رجلي لقيت النعاج طاحو	yes
350	قالك واحد مهبول دايمن حاكم الحيط و حاط وذنو عليه ويسمع كي شافو الطبيب قالو واش راك تسمع قالو المهبول اسمع بوذنك كي حط الطبيب وذنو علي الحيط قالو ماراني نسمع والو ايا قالو المهبول هادي اللي راها مهبلتني	yes
351	سال استاذ تلميذه ما اسم الحيوان الذي تصحو علي صوته كل صباح اجاب بابا	yes
352	استاذ سال تلميذه ما الفرق بين الفيل والبرغوت راح قال له الفيل ممكن ان يكون لديه برغوت لكن البرغوت مش ممكن يكون لديه فيل	yes
353	مره مدرس قال للتلاميذ اللي موش فاهم يقوم يقف فواحد بس اللي وقف بعدين قاله المدرس انتا موش فاهم قاله لا بس عيب اخليك واقف لوحدك	yes
354	المعلم للطلبه الام دايما ما تكون حنونه علي اطفالها فهي تغني لهم حتي يناموا فهي تولف لهم الاغاني وتغنيها لهم فمثلا الطالب احمد احمد نعم يا استاذ المعلم هل تذكر اغنيه تغنيها لك والدتك حتي تنام احمد نعم يا استاذ المعلم هل تسمعني هذه الاغنيه احمد نام يا حمار نام نامت عليك طوفه	yes
355	ابو مره شاب تتشاجر مع ابوه و نزل الشاب تحت الباطيمه و قعد يعيط بويا اعطيني حوايجي ما نزيدش نقعد في الدار ارسله لوه قرعه جال قاله هدا ما عندك الشيطان	no
356	قالك واحد حياتوا كامل وهو ياكل في اللوبيا وكي يجي ياكل ما يقولش بسم الله الشيطان ياكل معاه واحد النهار جاء راح يبدا الماكله خرجلوا الشيطان وقالوا يا صاحبي نتا قع ما تقولش بسم الله	yes
357	قالك زوج تزوجوا جابوا طفل ما عندوش يدين سماوه الاسنسير	yes
358	مره واحد هو وابنه ميعرفوش هو ايه الاسنسير بس شايفين الحيطه عماله تتفتح وتتقفل وهما مش فاهمين حاجه المهم جت واحده عجوزه ظغطت علي الزر اللي في الحيطه ودخلت الاسنسير وبعد شويه الاسنسير نزل وطلعت منه شابه جميله فالراجل قال لابنه روح هات امك	yes
359	ثلاثه بخلاء في احد الايام سام ثلاثه بخلاء من الناس التي تظل تتكلم عن بخلهم فقالو سننفق بعض المال من اجل نزع هذا الكلام فقال الاول سارسم خطا وارمي المال ما ذهب الي يمين لي ومن ذهب الي يسار لهم فقال ثاني سارسم دايره وارمي المال ما دخل الي دايره لي وما لم يدخل لهم فقال ثالث انا سارمي المال في السماء مابقي في السماء لهم وما سقط في الارض لي	yes
360	قالك واحد راح عند البوشي قالو اعطيني زوج كيلو لحم بقري كي عطالو الراجل سقساه قالو عندك الكرعين قالو البوشي ايه قالو امالا اللحق هربلو باللحم	no
361	قالك حمار وحشي كان يمشي مع صاحبتو قالك دخلها لدارو امبعد صحبتو شافت تصويرتو قاتلو شكون هدا قالها ايه هدا انا نهار كنت نلعب فسطيف الحمير تعرف بعضه	yes
362	كان جحا راكبا حماره حينما مر ببعض القوم واراد احدهم ان يمزح معه فقال له ياجحا لقد عرفت حمارك ولم اعرفك قال جحا هذا طبيعي لان الحمير تعرف بعضها	yes
363	واحد راح لطبيب باش ينحيلو مسمار دخلو في رجلو كي قالو دينار جاوبو وقال عوجو وخليه	yes
364	قالك واحد العجوزه راحت للطبيب قاتلوا يا وليدي راه عندي الما في ركبتي والغاز في معدتي قاللها دخلي التريسيتي واسكني لمطعم	no
365	قالك زوج دخلوا للمطعم واحد غني و الخر فقير الغني طلب اكله باللحم والفقير طلب صحن من الفول ايا الفقير بدا ياكل بسرعه شاف فيه الغني و قالوا قول بسم الله باش ما يكلش معاك الشيطان دار عندوا الفقير وقالوا واش بيك الشيطان يخلي اللحم و يجي ياكل الفول	yes
366	واحد كان يشاتي في الانترنيت مع فتاه قالها كيفاه اسمك كتبتلو فاطمه و حطت قدامها ورده يعني فاطمه الزهراء هو واش كتبلها اسمه بو جمعه	yes
367	مره استاد قال للتلميد اعطيلي حيوانات زاحفه قالو حنش حلزون خويا الصغير	yes
368	قالك واحد زاد عندو ولد فيه شعره واحده في راسه سماه محيرقه	no
369	وحده سمينه بزاف راحت عند الطبيب باش يعطيلها الدوا باش تشيان مدلها باطه كاشيات وقاللها كل نهار تاكل حبات هي نسات وكلاتهم قاع مره وحده ولعشيا جا راجلها للدار وحوس عليها ومالقاهاش قاللها عيشه وين راكي قاتلو راني مر البالي المكنسه	no
370	وحد المعلم سقسا وحد التلميذ قالو اعطيني شيء يتمدد بالحراره ويتقلص بالبروده التلميذ قالو العطله يا استاذ في الشتاء يوم وفي الصيف اشهر	yes
371	معلم سال طالب السروال مفرد و لا مثني يا طفل رد الطالب مفرد من فوق و مثني من تحت	yes
372	مشحاح طاحت دراهمه من التاقه كي نزل ما لقاهاش ليش لانه وصل قبلها	yes
373	مره كان هناك واحد عربي التقي بواحد ياباني فعرض علي العربي بتناول العشاء فقرر ان يهاتف زوجته ليعلمها فاعطاه الياباني يده و قال كلم هنا فقط في الهاتف النفال اي يديه كهاتف لدرجه تطور اليابانيين و بعدها ذهبو الي المنزل وفي الطريق راو عده متسولين يرفعون ايديهم للتسول فسال اليابني ماهذا فقال العربي هذا هاتف عمومي	yes
374	احد دخل للقهوه وقال للقهواجي عندك قهوه بارده يقولو لا زاد جاه غدوه وقالو كيما المره اللوله ورد عليه لا وعاد كل يوم يقولو عندك قهوه بارده واحدالنهار قال القهواجي والله نوجدلو قهوه بارده قبل ما يجي ومبعد ساعه جا الزبون وقال عندك قهوه بارده قالو نعم قال سخنها وجيبهالي	yes
375	قالك واحد المراه راجلها واعر معاها بزاف قالتلو لو كان غير تزوجت مع شيطان وما تزوجتش معاك قالها حرام المراه تتزوج مع خوها	yes
376	قالك واحد كان زاطل سقساوه خو كي تحب تصيد ارنب كاش تدير قالهم نتخبي مور الشجره وندير صوت الزروديه ليجان	no
377	قالك كانو واحد الزوج يمشو واحد دار والدوزيام باطيمه	no
378	واحد ركب ليموزين وقال للسواق نادي الشباب لو سمحت رد عليه السواق وانت ليش ما تناديهم فوق راسك ريشه	yes
379	في واحد محشش جالس امام المكيف يقوله لا تنفخ لا اكسر راسك	yes
380	سكران دخل علي صيدليه فقال للصيدلي اعطيني سندوش فلافل فقال الصيدلي بعصبيه هادي صيدليه مش مطعم فدخل سكران تاني وسال ايش القصه فقال له الصيدلي القصه السكران التاني سيبك منه اعطيني سندوش شورمه	yes
381	واحد مسطول قال لصاحبه ارسم علي ظهري مربعات فرسم صاحبه فقال له رقم هادي المربعات فرقمها فقال له حك لي في المربع اتنين	yes
382	مساطيل واحد بيسال التاني الشارع هادا بيروح فين التاني الشارع ده ثابت محله عمره ما راح شمال ولا يمين	yes
383	مره اتنين مساطيل واحد بيقول للتاني شايف الشمس ما احلاها الثاني هادي مش شمس هادي قمر المهم بدهم يتخانقوا فشافوا واحد وسالوه فقال الهم عفوا انا مش من هالبلد	yes
384	يقولك في سكرانيين طلعوا للبر المهم ويوم وصلوا وينصبوا لك ذيك الخيمه وخلوا لها بابين والله وهم جالسين كان يبون ولاعه ماحصلوو والله ويرسلوا واحد منهم كان يقوم السكران المرسول ويطلع من باب الخيمه الاول ويدخل من الثاني ويقول لاخوياه السكاري سلام شباب بالله ممكن ولاعه كان يقولوله والله سوري ياابو الشباب تونا ارسلنا خوينا نبي ولاعه	yes
385	غبي عرف ان الشيطان شاطر راح يدرس معه	yes
386	محشش بنشرت سيارته جاه واحد يبي يساعده قاله معك استبنه قال والله والنعم	yes
387	واحد ملقوف شاف حادث قال وخرو وخروالمصدوم يقرب لي طلع المصدوم حمار	yes
388	الله يعزكم بدوي راح لمطعم قال للجرسون واحد شاورما بس تكفي لا تكثر القراطيس لا نها تعور بطني	yes
389	محشش اسالوه وش اصعب شي قال انك تحدد السكسوكه وانت تاكل علك	yes
390	حواطي بيسون شهر تسوق سموه هلا ذي القعده	yes
391	فيه بدوي شراء لولده كمبيوتر حط بدال الفاره ضب	yes
392	كان فيه ولد كل يوم يروح عند محل الكيك ويقول للطباخ عندكم كيكه طماطم ويقوله الطباخ لا في الاخير طفش منه الطباخ وقال خليني اعمله كيكه طماطم وارتاح منه ولمن جاء الولد وساله نفس السوال قال له الطباخ نعم عندنا كيكه طماطم رد عليه الولد وقال يع الله يقرفك كيف لكم نفس تاكلونها	yes
393	قال احد الاطفال لعمته التي تزورهم يا قبيحه فصرخت والدته واجبرته ان يعتذر لها فقال لها الطفل انا اسف لاني قلتلك انك قبيحه	no
394	ذهب احد الاطفال الي امه وقال لها ماما اعطيني نقودا حتي اعطيها لرجل مسكين يصيح في الشارع فرحت الام لقلب طفلها الطيب واعطته النقود ثم سالته ولماذا يصيح هذا الرجل يا ولدي قال الطفل انه يصيح ايس كريم ايس كريم	yes
395	كان مجموعه من الاطفال يلعبون امام احد البيوت فاذا برجل عجوز يمر من امامهم فقال له احد الاطفال اذا سمحت يا جدو دق لي جرس الباب فانا لا استطيع الوصول اليه فدق العجوز الباب فاذا بالطفل يقول للعجوز وهو يهرب بسرعه يا جدو اهرب قبل ان يخرج صاحب المنزل ويضربك	yes
396	انجبت الام طفلا صغيرا فنظر الاخ الاكبر الي فم اخيه المولود ثم قال لامه ما ما لقد ضحكوا عليك واعطوك طفلا دون اسنان	yes
397	كان فيه ولد ثرثار قال له ابوه اذا سكت لمده نصف ساعه ساعطيك جايزه فسكت الولد حتي الدقيقه عندما جاته اخته وقالت له وش فيك يا اخوي وراك صرت اخرس قام رد عليها وقال لاه ولكن اصبري حتي اخذ الجايزه وبعدين اوريك منهو الاخرس	yes
398	قال الاب لابنه بغضب عندما كان نابليون في سنك كان الاول علي فصله فرد عليه الابن وعندما كان نابليون في سنك كان امبراطور فرنسا	yes
399	بدوي اشتري كمبيوتر خرب عليه الماوس اشتري ضب	yes
400	محششين ياكلون كيوي بخبز ليش يحسبونها فلافل	yes
401	واحد اخذ نصف حبه منوم نام بعين وحده	yes
402	امام صعيدي جا يكبر شال اللي وري حطهم قدام	yes
403	عربجي جاب ولد قال للممرضه لاتغسلونه خلوه بغباره	yes
404	فيه سكران مسكته الشرطه ولعو السفتي قال السكران ادعس جتك الشرطه	yes
405	واوحد كان مسرع مره علي الخط ومعاه زوجته فجاه شاف الشرطي في المرايه يشر له وقف الرجال سيارته وجاه الشرطي وسال الرجال ايش المشكله الشرطي انت كنت مسرع فوق ال كيلوفي الساعه وهالطريق سرعته القصوي ماتتعديعشان كذا انا راح اعطيك مخالفه الرجل لامعليش انا كنت متعدي البشوي زوجته لاانت ماشي علي الاقل قام اعطي الزوج زوجته نظره حقد الشرطي ابعطيك مخالفه بعد عشان الضوء الخلفي مكسور الرجل مكسور اناماكنت ادري انه مكسور الزوجه اووه انت كنت عارف عن اللمبه انها مكسوره من كم اسبوع واعطاها زوجها نظره حقد ثانيه الشرطي ابعطيك بعد ورقه انذار عن عدم ربط حزام الامان الرجل ايه انا فكيته لما وقفت السياره وجيت عندنا الزوجه لالالا انت ماعمرك ربطت حزام الامان التفت الزوج علي زوجته وزعق عليها انتي ماتعرفي تسكتي ابدا سال الشرطي الزوجه لو سمحتي هو دايم يصرخ عليك كذا الزوجه لابس لما يكون سكران قال الشرطي سكران بعد قال الرجل لا لاتصدقها قالت الحرمهما عليك منه لاقين القاروره في السياره يوم سرقناها قال الشرطي يعني السياره مسروقه قال الرجل مسروقه وش الله يهديك لا تهمك هذي ويلتفت علي الحرمه ويقول لها لاتخلين اطلقك اللحين قال الشرطي عسي ماهو دايم يهددك كذا بالطلاق قالت الحرمه اول خله يتزوجني وبعدين يتكلم بالطلاق والحلال فيه واحد	yes
406	في عجوز بالعه لمبه ليش علشان تطلع بنت النور	yes
407	ثلاث عميان طاحوا في حفره قالوا الله لا يعمينا	yes
408	كلب طاح من جدار قام يقول نيونيو	yes
409	هندي خبط عشان الزيت خلص هندي ثاني ماخبط ليه علشانه اصلع	yes
410	هنود متهاوشين وصل الزيت لركب	yes
411	فيه جني يبي يدخل في واحد سوداني ولع كشاف فيه	yes
412	واحد زاحف تزوج سلحفاه	yes
413	فيه دفتر يتمشي ليش فاضي	yes
414	واحد راح السلك الدبلوماسي اتكهرب	yes
415	فيه جندي كل ما دخل المطبخ ضرب تحيه للثلاجه ليش لانها ماركه الجنرال	yes
416	فيه محامي رفع قضيه طاحت عليه	yes
417	فيه واحد بلع ريقه جاه تسمم	yes
418	فيه اثنين راحو مع بعض رجع بعض وخلاهم لحالهم	yes
419	فيه واحد حب طحنوه	yes
420	فيه واحد عداه العيب استني الي بعده	yes
421	فيه واحد نام متاخر فاته الحلم	yes
422	فيه واحد يبي شنبه يطلع ضرب له بوري	yes
423	فيه واحد ضاق صدره اعطاه اخوه الصغير	yes
424	فيه واحد شاف الساعه وحده استحي	yes
425	منه فيه قزم عطس تفنقس	yes
426	مره واحد بلدياتنا بيلعب في منخيره كوعه اتحشر	yes
427	واحد بلدينا شاف دوره مياه راح يسجل	yes
428	فيها صعيدي قتل ابوه لانه سمع عن رحله مجانيه للايتام	yes
429	خكري راح عند ناس مات ابوهم قال يا حرام يعني مافي امل يرجع ثاني	yes
430	صعيدي تمغط حك الطياره	yes
431	فيه قروي شاف نافوره جاب لها سباك	yes
432	غبي لحق حرامي سبقه	yes
433	كهربايي حب يمزح مع زوجته قام يقبصها بزراديه	yes
434	في خروف جاه انهيار عصبي ليش قرب عيد الاضحي	yes
435	قروي سوي عمليه نجحت راح سواها ثاني مره	yes
436	جيزاني دخل كليه الملك فهد الامنيه يبغي يتخرج امير	yes
437	جيزاني جاء الي جده سكن مع عايله يتعلم لغه	yes
438	جيزاني تحضر صار يماني	yes
439	جيزاني اتروش فقد الذاكره	yes
440	جيزاني لبس ثوب جديد للتمويه	yes
441	جيزاني تنظف مسكوه بتهمه تضليل العداله	yes
442	غبي صلي لحاله فاتته ركعه	yes
443	جني دخل جيزاني تحسف	yes
444	واحد ماله حظ دخل هدف بالاعاده طلعت بره	yes
445	صعيدي جابت امراته توام راح يدور علي الرجل الثاني	yes
446	سوداني عمل رجيم تحول الي خيط اسود	yes
447	منشار عمل رجيم تحول الي سكين	yes
448	نذل يدور عند الشرطه ليش زوجته مو رابطه الحزام	yes
449	فيه واحد ما جاه النوم دق عليه بيجر	yes
450	في واحد قروي قطع اشاره خيطها	yes
451	يقول لك في طياره معلقه عليها سوداني لييش دعايه لشاهي ليبتون	yes
452	يقول لك وش وجه الشبه بين الخرف والمكياج كلهم يبيضون الوجه	yes
453	وش وجه الشبه بين القطوه والبنت كل اللي يلاحقونهم كلابه	yes
454	دجاجه انتحرت قالت خلوا ماجي ينفعكم	yes
455	فيه خكري اوجعه ضرسه كتب وصيته	yes
456	فيه خكري مشي في الشمس حافي انهبل	yes
457	فيه خكري حشش حس بالرجوله	yes
458	فيه خكري جفت بشرته مات	yes
459	فيه خكري اكل علبه فياجرا باس زوجته	yes
460	فيه عربجي صدع راسه حط عليه جبس	yes
461	فيه عجوز ماتقوم الا باشتراك	yes
462	فيه واحد قروي حدته الظروف انقلب	yes
463	فيه حرمه جابت توم وجارتها جابت جيري	yes
464	فيه صعيدي بلع سوداني غص في شوشته	yes
465	فيه ميكانيكي اشتري سرير نام تحته	yes
466	فيه واحد بلع موس جرح شعوره	yes
467	فيه ياباني اخترع كمبيوتر وهذا الكمبيوتر اي سوال تسيله يجاوب عليك واخذ عده جوايز من نوبل وجايزه الملك فيصل لحسن اختراع بس جاء حوطي سيله سوال والكمبيوتر قال فو فو فو بوف الكمبيوتر انفجر الحوطي ايش سيله قاله ابو جلمبو قبل ما يجيه جلمبو ايش كان اسمه	yes
468	بمناسبه دمج المدارس اولاد وبنات فيه استاذ حوطي قدم اجازه امومه	yes
469	في سياره مارضيت عيت تشتغل ليش تبي تكمل دراستها	yes
470	بدوي جاله توام حلف علي الدكتور ياخذ واحد منهم	yes
471	واحد تزوج صينيه صار يقدم بيها شاي	yes
472	في واحد حلو تزوج وحده حلوه خلفو ولد شربات	yes
473	مره في امريكي و فرنسي و صيني حبو يجربوا صدي اصواتهم عند شلالات نياجرا الامريكي قال هلو الصدي قال هلو الفرنسي قال بونجور الصدي قال بونجوور وور وور الصيني قال شنجا شونج كلمبو الصدي قال هاه اش قلت	yes
474	وش وجه الشبه بين الصعيدي الذكي وسوبر مان كلهم شخصيات خياليه	yes
475	مدرس يشرح لطلاب صعايده وكل مامسح السبوره شقوا الورقه	yes
476	جربان اتسبح حطوه في برنامج كل جديد نذل غصبوه يتبرع لفلسطين بعشره دنانير قام وتبرع لاسراييل بميه	yes
477	فيه نذله كلمت ام بي سي وقالت اهدي الاغنيه القادمه لخطيبي بمناسبه وفاه امه	yes
478	واحد طيب كتيير تجوز وحده طيبه كتيير جابو ولد تبرعوا فيه	yes
479	قروي سمع عن دوره مياه اشترك فيه	yes
480	فيه حوطي جاه ولد ماسماه ليش فيه حروف جديده بتنزل	yes
481	محشش وسكران مسكت معهم علي تقليد الدوريه جا المحشش يقول ويوي ويوي وقام السكران يقول ازرق احمر ازرق احمر	yes
482	في خروف عليه خط احمر لييه قليل الدسم	yes
483	فيه حوطي نامت رجله طفا اللمبه	yes
484	فيه مصري شاف هلال رمضان عطوه خمس الاف قال اهو التاني اهوه	yes
485	هذولا ناس ملقف من جد قال لهم واحد كاش اعطيكم نص ثروتي بس بشرط تبطلون لقافه قالوا ماهي مشكله بس النص الثاني من بتعطيه	yes
486	والله حرام الحضارم مو كدا بس عاد ايش يسوو لصقت فيهم واذا في حضرمي شاف دا الموضوع لا يزعل هادي تسالي وبس مااهي حقيقه	no
487	في حضرمي سايق تاكسي في بريطانيا ركبت معاه وحده عريانه كامل وهو قاعد ينظر لها باستغراب قالت له وش فيك اول مره تشوف وحده عريانه قال لها لا بس انا افكر من وين راح تطلعي فلوس الاجره	yes
488	تمكن من فصل ريال عن حضرمي الريال الان يتمتع بصحه جيده والحضرمي ما يزال في غيبوبه	yes
489	في واحد حضرمي صور زوجته ليله الدخله عريانه وقال لها ترجعي المهر ولا اوزع الصور	yes
490	سالوا سوداني لو مت تبغي تروح الجنه ولا النار قال عليك الله انا رايح مع الحضارم الناس هدولي زاتهم ما يخطوا خطوه االا وفيها مكسب	yes
491	حضرمي صدمته سياره وطاح جو الناس يسعفوه واحد يصرخ جيبوا له مويه بسرعه فتح عينه الحضرمي قال لالالا خلوها منقه	yes
492	حضرمي بيته بينحرق يدق عالدفاع المدني يعطيهم رنه ويقفل	yes
493	لانك كل ما تقول لحضرمي هات فلوس يمسك اسنانه ويشهدها علي برا والله مافي	no
494	واحد حضرمي راح لابوه قال له عطني فلوس بجدد الرخصه قله ايوه خلصت من كثر السعسعه في الشوارع طول النهار	yes
495	ماوجه الشبه بين الحضرمي الكريم والديناصور كلهم منقرضين	yes
496	يقولك فيه شباب حبوا يلعبوا مع واحد حضرمي رموا من سطح عمارتهم عشره ريال وقالوا اللي ينزل اول واحد له العشره المهم رموا العشره نزل الحضرمي جري ووصل لكن بعد دور علي العشره ما حصلها ليه فكروا خلاص فكرتوا لان العشره لساتها طايره والحضرمي نزل قبلها	yes
497	فيه واحد حضرمي نجحوا عياله في المدرسه اشترا لهم كوره هديه وقال لهم اذا نجحتوا السنه الجيه بنفخها لكم	yes
498	واحد اذا جاء الليل راح للبر يتمشي ليش غبي ضحك عليه وقال له انت ذيب	yes
499	شباب راكبين هليكبتر قالوا للسايق طف المروحه تونا متسبحين	yes
500	محشش سال سكران هالشارع وين يروح قاله من عرفته ما تحرك من مكانه	yes
501	وحده تقول لحبيبها اهلي مسافرين والبيت فاضي قالها اقريي قران ومتخافيش	yes
502	فيه واحد قال لصديقه سمعت اخر خبر قاله صديقه لا والله قال ولا انا	yes
503	قزم عطس راسه اتخبطت في الارض	yes
504	فيه واحد يسال واحد غبي يقوله اذا عرفت وش معي بالكيس عطيتك منه سمكه رد عليه الغبي قال بحر	yes
505	فيه ثلاث نصابين قال الاول شفتوا البحر الاحمر قال انا لونته قال الثاني شفتوا البحر الميت انا قتلته قال الثلاث شفتو ا المحيط الهندي انا كفيله	yes
506	يقول لكم في واحد فتح محل يبيع فيه موز خسر ليش لانه كل ماشوف موزه عوجه قطها	yes
507	في واحد غبي فتح له كراج خسر ليش فاتحه في الطابق الثاني	yes
508	في محشش راح لبيت جيرانهم قال لهم عندكم طماط قالو له اي قال لهم احنه بعد	yes
509	في واحد غبي مات ليش ماله خلق يتنفس	yes
510	قال الاول للثاني قوم نسلم علي الرجال الاثنين اللي قاعدين يطالعونا شافو نفسهم بالمرايا يوم قاموو قاله الثاني خلاص خلاص اقعد هم جاونا	yes
511	في هندي يمشي علي الخط السريع بسرعه ليش يجرب زنوبته	yes
512	في سكران وحول الحول يسوق والسكران جمبه كانو مسرعين وكان في قدامهم عمود لمبه قال السكران انتبه وقاله الحول معليش مسيطر علي الوضع بمر من بينهم	yes
513	محشش قطع راس خويه وهو نايم بيقعد ومابيشوف راسه وبينهبل	yes
514	محشش يسال محشش لو صحيت ولقيت نفسك ميت وش تسوي قال والله لانهبل	yes
515	غبي اشتري حق ولده اله حاسبه وشال منها الصفر علشان ما يتصل دولي	yes
516	غراب حاشر عصافير في زاويه ويقول من الحيوان فيكم قال جاكم كويحه و	yes
517	احد قال لابوه يبا مدرسنا خبل امس يقول واليوم يقول واحد بنا بيته بشكل دايري علشان زوجته لا تقوله حابسني بين اربع حيطان	yes
518	مدرس العلوم سال تلميذ عرف الخفاش التلميذ فار لابس بشت	yes
519	اسود محشش يمشي مع خويته شافت ابوها قالت ابوي قال المحشش قولي اني اخوك	yes
520	يقولك اغبياء يرجمون اسد هربوا كلهم الا اثنين يقولون للاسد حنا ما رجمنا	yes
521	فيه نمله تصارخ بالحمام ليش شافت صرصور	yes
522	سكران محشش اتصل علي ناس قال بيت فلان قالو لا قال اجل ليش تردون	yes
523	وحده حلمت ان محشش يلحقها قالت له وش تبي قال مدري عنك انتي اللي تحلمين	yes
524	اغبياء يبون يفجرون مبني حطو القنابل في الدور الاول وطلعوا السطوح	yes
525	غبي مشتهي لبن راح للثلاجه لقي تاريخه منتهي قام زور التاريخ وشربه	yes
526	فيه واحد يمشي وينقط مويه ليه اسمه حنفي	yes
527	نذل يبي يطلع من موقف السيارات شاف واحد بيجي مكانه رجع وركب تكسي	yes
528	في واحد واضع الخلوي خارج الشباك ليش بنتظر مكالمه خارجيه	yes
529	واحد يحب الهدوء اشتري شريط كاسيت فارغ	yes
530	غبي سالوه متي اخر مره رحت البحرين قال يوم كان خط الجسر ترابي	yes
531	واحد يقرا صفحه الوفيات في جريده ويضحك ليش ما لقي اسمه وياهم	yes
532	نذل حلم انه طيب قعد من النوم قال اعوذ بالله وش الكابوس هذا	yes
533	واحد احترق ودوه مستشفي العظام ليش اخوه مطفيه بطابوقه	yes
534	في وحده بنت تكهربت قامت جدتها تصفق ليش تحسب انها ترقص	yes
535	معلم و معلمه تزوجو كتبو الكتاب في السبوره	yes
536	فيه قروي عطاه البنك بطاقه صراف الغبي غلفها	yes
537	واحد قروي ما راح يصلي الجمعه ليه لانها منقوله علي الهواء	yes
538	في نمر مر من عنده قطو يلاحق فار ضحك يقول يلعن ابو حركات الابتدايي	yes
539	قروي دخل شركه قال وين المدير قالوا المدير العام	no
540	فيه واحد تزوج جاب عشر بنات يوم جاء له ولد سماه بدري	yes
541	راحت للكوافيره قالت لها مكيجيني قالت ما اقدر لازم ورقه من المرور	no
542	واحد مسطـول قال لصاحبه ارسم علي ظهري مربعات فرسم صاحبه فقال له رقم هاذي المربعات فرقمها فقال له حك لي في المربع	yes
543	غبي يبون يعذبونه حطوه في غرفه مدوره قالوله اجلس في الزاويه	yes
544	فيه وحد ترقا من جندي الي جندي اول قام يبكي سالوه ليش قال المسيوليه صعبه	yes
545	في جندي غبي قالوله بس يمر الرييس اطلق طلقه قالهم واذا جبته من اول طلقه	yes
546	محشش يسوق سياره وابوه معه قاله ابوه لف رد عليه المحشش لف انت ماتشوفني اسوق	yes
547	محشش راح يعزي ناس وماعرف شو يقول فقال يعني مافي امل يرجع	yes
548	ايراني حصلوه يصيح في المستشفي سالوه شو فيك قال ما شي بس الوالد شويه متوفي	yes
549	ايراني يصلي بالناس ولما غلط في الايه قال غلتيت بنسلي من اول	yes
550	بدوي دخل محل ايراني وفي ايده ظب قال الايراني الله يخليك تلع هزا دينسور سغير برع قبل ما يكسر دوكان	yes
551	ايراني طلع له جني بالليل ومو حافظ شي من القران غناله تلع البدر علينا	yes
552	بدويه راحت عند ايرانيين حطوا لها شيشه راحت لزوجها قالت يحليلهم بخورهم ينشرب	yes
553	ايراني اشتري مسجل اليوم الثاني رجعه ليش اونه السماعتين يطلعو نفس الاغنيه	yes
554	ايراني سالوه وين يشتغل ابوك قالهم ابدوي عند الشيوخ	yes
555	ايراني غبي مجنن استاذ الجغرافيه يبي يعرف خط الاستواء فاتوره وله واصل	yes
556	ايراني سمي بنته ايمان اهله قالوله انت ودرت دبي والشارجه وسميتها ايمان	yes
557	ايراني يصيد طيور ولابس بجامه سالوه ليش قال اشان تيور يتهسبني راقد لااه	yes
558	ايراني شاف نافوره ملونه قال الهكومه ما قسرت حتي الشربت حتوه في الشارع	yes
559	ايراني معزوم عند بدو قالوا له وش لعلوم قال اولاد يقول علوم شويه سعب	yes
560	فاش منعاشك شاف معناشك عيش منشانك ايراني يبي يقول عاش من شافك	yes
561	ايراني قال احب البر والمزيون احب البدو والاوتان احب الجواز لو يعتون	yes
562	ايراني سالوه شو عاصمه البرتغال قال السنطره	no
563	ايراني مرض ابوه وداه المستشفي سال الدكتور الايراني كم عمر ابوك رد عليه والله ما ادري بس من زمان اهو عندنا	yes
564	في مره حضرمي احترق بيته راح ينغم علي المطافي	yes
565	في مره حضرمي انتحر ليش حصل ولد يقطع ريال	yes
566	في مره حضرمي راح يبغا يتزوج خارج حضرموت قالو له المهر بـ	no
567	في مره واحد سافر حضرموت ودخل مطعم يبغا يتغدي جاء عنده المباشر قاله بغيت وه قال خلاص هات واحد وه	yes
568	حضرمي سواق تاي في باريس ركبت معه وحده عريانه بالكامل وطول الطريق يطالعها في المرايه سالته اول مره تشوف وحده عريانه قال لا ابغى اعرف من وين تطلعي الأجرة	yes
569	مره واحد حضرمي امه ماتت عيط عليها بعين واحده	yes
570	حضرمي يدعي اللهم ارزقني مليون دولار و ريال قالوا له ليش قال عشان الزكاه حقه المليون	yes
571	سالوا حضرمي لو الدنيا برد تعمل ايه قال اقعد جنب الدفايه قالولوا لو الدنيا برد موت قال الزق في الدفايه قالولوا طب لو الدنيا بقت تلج قال امري لله افتح الدفايه وخلاص	yes
572	فيه حضرمي ضرب عياله ليــه لقاهم مشغلين المروحه علي ثلاثه وهم اثنيين	yes
573	فيه واحد حضرمي قال لــ اولاده ادا نجحتو با وريكم سياره الاسكريم	yes
574	حضرمي عزم ربعه علي الغدي بتاريخ ليش اول يوم رمضان	yes
575	مره حضرمي شقته ولعت ادي للمطافي رنه	yes
576	شحات بيقول لحضرمي اديني حاجه لله يا بيه الحضرمي قاله عمرك اطول من عمري كنت لسه حا قولها لك	yes
577	رقاصه طلعت من المرقص وراسها كله جروح ليش حضارم ينقطون بهللات	yes
578	حضرمي ركب خويته قالتله عطشانه رح وقف عند براده مسجد	yes
579	حضرمي ذبح خروف وعمل اللحم حنيذ والراس شوربه والارجل كوارع والجلد سجاده صلاه ومخلفات المعده سمادللشجر والعظام طعنها علف للدواجن حتي صوت الخروف سجله نغمه جديده بالجوال ه	yes
